"";"parametres";"effet_elementaire";"delta_X";"delta_Y"
"1";"varstock";0,047;-0,5;-0,024
"2";"moyirrigculture";-0,009;0,333333333333333;-0,003
"3";"moyirrigculture";-0,002;-0,333333333333333;0,001
"4";"moyirrigculture";-0,009;0,333333333333333;-0,003
"5";"consourb";-0,005;-1;0,005
"6";"moyirrigculture";-0,009;0,333333333333333;-0,003
"7";"resolution";0,361;-0,333333333333333;-0,12
"8";"consourb";0;1;0
"9";"consourb";0;1;0
"10";"moyirrigculture";-0,033;-1;0,033
"11";"resolution";0,645;0,666666666666667;0,43
"12";"varstock";-0,016;1;-0,016
"13";"resolution";-0,082;-0,333333333333333;0,027
"14";"moyirrigculture";-0,026;-0,333333333333333;0,009
"15";"varstock";-0,008;0,5;-0,004
"16";"consourb";0,007;-1;-0,007
"17";"moyirrigculture";-0,033;0,333333333333333;-0,011
"18";"moyirrigculture";-0,032;1;-0,032
"19";"consourb";0;1;0
"20";"consourb";0;1;0
"21";"consourb";0;1;0
"22";"consourb";0;1;0
"23";"consourb";0;1;0
"24";"resolution";0,386;1;0,386
"25";"varstock";-0,016;-1;0,016
"26";"resolution";0,513;-0,666666666666667;-0,342
"27";"moyirrigculture";-0,002;-0,333333333333333;0,001
"28";"consourb";-0,005;-1;0,005
"29";"consourb";-0,005;-1;0,005
"30";"moyirrigculture";-0,002;-0,333333333333333;0,001
"31";"moyirrigculture";-0,002;-0,333333333333333;0,001
"32";"resolution";0,513;-0,666666666666667;-0,342
"33";"varstock";0,047;-0,5;-0,024
"34";"resolution";0,307;-0,333333333333333;-0,102
"35";"varstock";0,047;0,5;0,024
"36";"consourb";-0,011;-1;0,011
"37";"varstock";-0,208;-0,5;0,104
"38";"varstock";0,047;0,5;0,024
"39";"consourb";-0,011;-1;0,011
"40";"moyirrigculture";-0,022;-0,333333333333333;0,007
"41";"moyirrigculture";-0,033;0,333333333333333;-0,011
"42";"moyirrigculture";-0,033;-0,333333333333333;0,011
"43";"moyirrigculture";-0,033;0,333333333333333;-0,011
"44";"varstock";-0,016;1;-0,016
"45";"resolution";0,377;1;0,377
"46";"consourb";0;1;0
"47";"moyirrigculture";0,026;1;0,026
"48";"varstock";0,005;0,5;0,003
"49";"consourb";-0,006;1;-0,006
"50";"resolution";0,237;-0,333333333333333;-0,079
"51";"varstock";-0,01;-0,5;0,005
"52";"resolution";0,437;-1;-0,437
"53";"consourb";-0,005;1;-0,005
"54";"moyirrigculture";-0,004;-0,333333333333333;0,001
"55";"varstock";-0,013;0,5;-0,006
"56";"consourb";-0,004;-1;0,004
"57";"consourb";-0,004;-1;0,004
"58";"resolution";0,429;-1;-0,429
"59";"resolution";0,429;-1;-0,429
"60";"moyirrigculture";0,032;-0,666666666666667;-0,021
