;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
cr.__diokoul_m.belbouck;24277;25174;26103;27061;28050;29071;30124;31211;32334;33495;34695;35937;37223
com._kebemer;19902;20461;21037;21630;22240;22866;23509;24169;24844;25535;26241;26963;27700
arrondissement_ndande;81923;84223;86595;89037;91547;94125;96772;99486;102266;105110;108018;110989;114021
cr.__badegne_ouolof;15859;16304;16763;17236;17722;18221;18734;19259;19797;20348;20911;21486;22073
cr.__diokoul_diawrigne;15854;16299;16758;17231;17716;18215;18728;19253;19791;20341;20904;21479;22066
cr.__kab_gaye;11272;11588;11915;12251;12596;12951;13315;13689;14071;14462;14862;15271;15688
cr.__ndande;23983;24656;25351;26066;26800;27555;28330;29125;29938;30771;31622;32492;33380
cr.__thieppe;14956;15376;15809;16255;16713;17184;17667;18162;18670;19189;19720;20262;20816
cr.__diende;12479;12895;13327;13776;14243;14729;15234;15760;16307;16877;17470;18087;18728
departement_thies;667814;686294;705317;724814;744782;765213;786097;807422;829174;851335;873888;896806;920061
com._pout;23728;24385;25061;25753;26463;27189;27931;28688;29461;30249;31050;31864;32691
com._cayar;23585;24238;24909;25598;26303;27025;27762;28516;29284;30066;30863;31672;32494
arrondissement_thies_nord;104095;106975;109941;112980;116092;119277;122532;125856;129247;132701;136216;139789;143414
ca._thies_nord;104095;106976;109941;112980;116092;119277;122532;125856;129247;132701;136217;139789;143414
arrondissement_thies_sud;213668;219581;225667;231905;238294;244831;251513;258336;265295;272386;279602;286934;294375
ca._thies_est;132080;135735;139497;143353;147303;151343;155474;159692;163994;168377;172837;177370;181969
ca._thies_ouest;81588;83846;86170;88552;90991;93487;96039;98644;101302;104009;106764;109564;112405
cr.__notto;41936;43096;44291;45515;46769;48052;49364;50703;52069;53460;54877;56316;57776
arrondissemnt__keur_moussa;101211;104012;106895;109850;112876;115972;119137;122369;125666;129025;132443;135916;139440
cr.__diender_guedji;33312;34234;35183;36155;37151;38170;39212;40276;41361;42466;43591;44735;45895
cr.__fandene;28050;28826;29625;30444;31283;32141;33018;33914;34828;35758;36706;37668;38645
cr.__keur_moussa;39850;40953;42088;43251;44443;45662;46908;48181;49479;50801;52147;53514;54902
departement__tivaouane;452172;464685;477565;490766;504286;518120;532261;546700;561428;576432;591703;607221;622966
com._mekhe;22944;23579;24232;24902;25588;26290;27008;27741;28488;29249;30024;30811;31610
com._tivaouane;69556;71481;73462;75493;77573;79701;81876;84097;86362;88671;91020;93407;95829
com._m.boro;27693;28459;29248;30057;30885;31732;32598;33482;34384;35303;36238;37189;38153
arrondissement__meouane;111314;114394;117565;120815;124143;127549;131030;134585;138210;141904;145663;149483;153360
cr.__meouane;35615;36601;37615;38655;39720;40809;41923;43060;44220;45402;46605;47827;49068
cr.__taiba_n.diaye;22268;22884;23519;24169;24834;25516;26212;26923;27648;28387;29139;29904;30679
cr.__darou_khoudoss;53431;54910;56432;57991;59589;61224;62895;64601;66341;68114;69919;71752;73613
arrondissement__pambal;85462;87827;90261;92756;95312;97926;100599;103328;106112;108948;111834;114767;117743
cr.__cherif_lo;17813;18306;18813;19333;19866;20411;20968;21537;22117;22708;23310;23921;24541
cr.__mont__rolland;14122;14513;14915;15327;15750;16182;16623;17074;17534;18003;18480;18964;19456
cr.__notto_gouye_diama;21814;22418;23039;23676;24328;24996;25678;26374;27085;27809;28545;29294;30054
cr.__pire_goureye;23377;24024;24690;25372;26071;26786;27518;28264;29025;29801;30591;31393;32207
cr._pambal;8335;8566;8803;9046;9296;9551;9811;10077;10349;10626;10907;11193;11483
